created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2026-07-05T06:49:38-05:00,1,18,27,0,0,0,,,,
2026-07-05T06:50:14-05:00,2,18,27,0,0,0,,,,
2026-07-05T06:50:52-05:00,3,18,27,0,0,0,,,,
2026-07-05T06:51:25-05:00,4,,,0,1,0,,,,
2026-07-05T06:52:03-05:00,5,18,27,1,1,0,,,,
2026-07-05T06:52:35-05:00,6,,,1,0,0,,,,
2026-07-05T06:53:18-05:00,7,18,27,0,0,0,,,,
2026-07-05T06:53:57-05:00,8,18,27,0,0,0,,,,
2026-07-05T06:54:31-05:00,9,18,27,0,0,0,,,,
2026-07-05T06:55:06-05:00,10,18,27,0,0,0,,,,
2026-07-05T06:55:42-05:00,11,18,27,0,0,0,,,,
2026-07-05T06:56:17-05:00,12,18,27,0,0,0,,,,
2026-07-05T06:57:01-05:00,13,18,27,0,0,0,,,,
2026-07-05T06:57:26-05:00,14,18,27,0,0,0,,,,
2026-07-05T06:58:01-05:00,15,18,27,0,0,0,,,,
2026-07-05T06:58:37-05:00,16,18,27,0,0,0,,,,
2026-07-05T06:59:12-05:00,17,18,27,0,0,0,,,,
2026-07-05T06:59:46-05:00,18,18,27,0,0,0,,,,
2026-07-05T07:00:19-05:00,19,18,27,0,0,0,,,,
2026-07-05T07:00:53-05:00,20,18,27,0,0,0,,,,
2026-07-05T07:01:32-05:00,21,18,27,0,0,0,,,,
2026-07-05T07:02:07-05:00,22,18,27,0,0,0,,,,
2026-07-05T07:02:47-05:00,23,18,26,0,0,0,,,,
2026-07-05T07:03:27-05:00,24,18,26,0,0,0,,,,
2026-07-05T07:04:04-05:00,25,18,26,0,0,0,,,,
2026-07-05T07:04:39-05:00,26,18,26,0,0,0,,,,
2026-07-05T07:05:17-05:00,27,18,26,0,0,0,,,,
2026-07-05T07:05:51-05:00,28,18,26,0,0,0,,,,
2026-07-05T07:06:30-05:00,29,18,26,0,0,0,,,,
2026-07-05T07:07:05-05:00,30,18,25,0,0,0,,,,
2026-07-05T07:07:42-05:00,31,18,26,0,0,0,,,,
2026-07-05T07:08:17-05:00,32,18,25,0,0,0,,,,
2026-07-05T07:08:53-05:00,33,18,25,0,0,0,,,,
2026-07-05T07:09:27-05:00,34,18,25,0,0,0,,,,
2026-07-05T07:10:03-05:00,35,18,25,0,0,0,,,,
2026-07-05T07:10:31-05:00,36,18,25,0,0,0,,,,
2026-07-05T07:11:05-05:00,37,19,25,0,0,0,,,,
2026-07-05T07:11:42-05:00,38,19,24,0,0,0,,,,
2026-07-05T07:12:17-05:00,39,19,25,0,0,0,,,,
2026-07-05T07:13:01-05:00,40,19,25,0,0,0,,,,
2026-07-05T07:13:34-05:00,41,19,25,0,0,0,,,,
2026-07-05T07:14:13-05:00,42,19,25,0,0,0,,,,
2026-07-05T07:14:47-05:00,43,19,24,0,0,0,,,,
2026-07-05T07:15:22-05:00,44,19,24,0,0,0,,,,
2026-07-05T07:15:58-05:00,45,19,24,0,0,0,,,,
2026-07-05T07:16:35-05:00,46,19,24,0,0,0,,,,
2026-07-05T07:17:12-05:00,47,19,24,0,0,0,,,,
2026-07-05T07:17:47-05:00,48,19,24,0,0,0,,,,
2026-07-05T07:18:26-05:00,49,19,23,0,0,0,,,,
2026-07-05T07:19:02-05:00,50,19,24,0,0,0,,,,
2026-07-05T07:19:40-05:00,51,19,23,0,0,0,,,,
2026-07-05T07:20:16-05:00,52,19,23,0,0,0,,,,
2026-07-05T07:20:49-05:00,53,19,23,0,0,0,,,,
2026-07-05T07:21:23-05:00,54,19,23,0,0,0,,,,
2026-07-05T07:22:05-05:00,55,19,23,0,0,0,,,,
2026-07-05T07:22:39-05:00,56,19,23,0,0,0,,,,
2026-07-05T07:23:15-05:00,57,19,23,0,0,0,,,,
2026-07-05T07:24:00-05:00,58,19,23,0,0,0,,,,
2026-07-05T07:24:36-05:00,59,19,23,0,0,0,,,,
